1,25
30,90
60,137
90,158
120,170
150,177
180,183
210,187
240,192
270,197
300,199
330,203
360,208
390,210
420,212
450,214
480,217
510,221
540,225
570,225
600,229
630,230
660,232
690,234
720,238
750,239
780,241
810,243
840,247
870,243
900,246
930,246
960,248
990,251
1020,252
1050,253
1080,254
1110,257
1140,258
1170,258
1200,263
1230,264
1260,266
1290,271
1320,270
1350,272
1380,274
1410,274
1440,280
1470,278
1500,284
1530,288
1560,288
1590,293
1620,292
1650,294
1680,298
1710,298
1740,300
1770,301
1800,300
1830,302
1860,305
1890,305
1920,303
1950,306
1980,305
2010,308
