19,0,0.00
20,0,0.00
21,45,15.35
22,11,3.75
23,11,3.75
24,0,0.00
25,30,10.23
26,43,14.67
27,16,5.46
28,42,14.33
29,43,14.67
30,56,19.10
31,26,8.87
32,38,12.96
33,11,3.75
34,44,15.01
35,37,12.62
36,21,7.16
37,55,18.76
38,11,3.75
39,39,13.30
40,16,5.46
41,21,7.16
42,77,26.27
43,68,23.20
44,53,18.08
45,44,15.01
46,16,5.46
47,48,16.37
48,39,13.30
49,40,13.65
50,25,8.53
51,59,20.13
52,47,16.03
53,60,20.47
54,3,1.02
55,48,16.37
56,39,13.30
57,64,21.83
58,17,5.80
59,42,14.33
60,45,15.35
61,59,20.13
62,19,6.48
63,1,0.34
64,16,5.46
65,62,21.15
66,56,19.10
67,34,11.60
68,35,11.94
69,39,13.30
70,59,20.13
71,48,16.37
72,42,14.33
73,80,27.29
74,21,7.16
75,80,27.29
76,65,22.17
77,75,25.58
78,17,5.80
79,16,5.46
80,28,9.55
81,91,31.04
82,23,7.85
83,31,10.57
84,48,16.37
85,48,16.37
86,82,27.97
87,80,27.29
88,48,16.37
89,71,24.22
90,42,14.33
91,61,20.81
92,48,16.37
93,47,16.03
94,54,18.42
95,59,20.13
96,74,25.24
97,48,16.37
98,88,30.02
99,80,27.29
100,81,27.63
101,26,8.87
102,97,33.09
103,48,16.37
104,51,17.40
105,33,11.26
106,63,21.49
107,64,21.83
108,42,14.33
109,53,18.08
110,62,21.15
111,49,16.72
112,92,31.38
113,62,21.15
114,48,16.37
115,43,14.67
116,98,33.43
117,64,21.83
118,48,16.37
119,78,26.61
120,60,20.47
121,99,33.77
122,99,33.77
123,106,36.16
124,80,27.29
125,112,38.21
126,80,27.29
127,115,39.23
128,70,23.88
129,96,32.75
130,112,38.21
131,64,21.83
132,66,22.51
133,59,20.13
134,128,43.66
135,87,29.68
136,105,35.82
137,121,41.28
138,70,23.88
139,109,37.18
140,77,26.27
141,65,22.17
142,74,25.24
143,80,27.29
144,77,26.27
145,66,22.51
146,80,27.29
147,74,25.24
148,103,35.14
149,116,39.57
150,112,38.21
151,101,34.45
152,94,32.07
153,134,45.71
154,112,38.21
155,134,45.71
156,48,16.37
157,96,32.75
158,113,38.55
159,105,35.82
160,125,42.64
161,139,47.42
162,76,25.93
163,87,29.68
164,84,28.65
165,129,44.01
166,69,23.54
167,111,37.86
168,96,32.75
169,98,33.43
170,112,38.21
171,112,38.21
172,174,59.36
173,109,37.18
174,86,29.34
175,148,50.49
176,151,51.51
177,148,50.49
178,157,53.56
179,71,24.22
180,102,34.79
181,112,38.21
182,146,49.80
183,111,37.86
184,151,51.51
185,157,53.56
186,126,42.98
187,131,44.69
188,84,28.65
189,112,38.21
190,118,40.25
191,137,46.73
192,89,30.36
193,121,41.28
194,112,38.21
195,160,54.58
196,113,38.55
197,110,37.52
198,126,42.98
199,158,53.90
200,121,41.28
201,116,39.57
202,62,21.15
203,112,38.21
204,159,54.24
205,134,45.71
206,137,46.73
207,143,48.78
208,162,55.26
209,164,55.94
210,143,48.78
211,176,60.04
212,135,46.05
213,131,44.69
214,106,36.16
215,190,64.81
216,134,45.71
217,121,41.28
218,169,57.65
