1,1634,37.73,227,37.73,0.00 
2,1681,62.92,264,50.32,1.00 
3,1653,47.91,249,45.32,1.00 
4,1676,60.24,258,48.40,1.00 
5,1669,56.49,256,47.65,1.00 
6,1733,90.79,272,53.37,1.00 
7,1648,45.23,258,48.38,1.00 
8,1985,225.87,345,78.17,1.00 
9,1642,42.01,271,53.00,1.00 
10,1649,45.77,275,54.39,1.00 
11,1632,36.65,274,53.99,1.00 
12,1725,86.50,298,62.41,1.00 
13,1638,39.87,282,56.97,1.00 
14,1680,62.38,283,57.19,1.00 
15,1648,45.23,276,55.03,1.00 
16,1736,92.40,300,63.00,1.00 
17,1645,43.62,280,56.37,1.00 
18,1506,-30.89,241,42.94,1.00 
19,1674,59.17,278,55.62,1.00 
20,1678,61.31,278,55.71,1.00 
21,1706,76.32,286,58.33,1.00 
22,1651,46.84,269,52.63,1.00 
23,1684,64.53,276,54.96,1.00 
24,1670,57.02,278,55.71,1.00 
25,1671,57.56,278,55.82,1.00 
26,1695,70.42,285,57.98,1.00 
27,1689,67.21,283,57.38,1.00 
28,1680,62.38,283,57.37,1.00 
29,1670,57.02,281,56.88,1.00 
30,1916,188.89,346,79.05,1.00 
31,1642,42.01,286,58.45,1.00 
32,1695,70.42,300,63.26,1.00 
33,1626,33.44,285,58.08,1.00 
34,1712,79.54,308,65.88,1.00 
35,1776,113.84,329,73.09,1.00 
36,1658,50.59,295,61.56,1.00 
37,1660,51.66,297,62.25,1.00 
38,1707,76.86,309,66.29,1.00 
39,1680,62.38,306,65.24,1.00 
40,1649,45.77,297,62.37,1.00 
41,1682,63.46,301,63.53,1.00 
42,1703,74.71,307,65.73,1.00 
43,1684,64.53,304,64.61,1.00 
44,1685,65.06,303,64.42,1.00 
45,1689,67.21,304,64.64,1.00 
46,1698,72.03,307,65.83,1.00 
47,1730,89.18,317,69.07,1.00 
48,1712,79.54,314,68.02,1.00 
49,1938,200.68,375,88.78,1.00 
50,1719,83.29,329,73.27,1.00 
51,1703,74.71,329,73.28,1.00 
52,1657,50.05,321,70.41,1.00 
53,1679,61.85,327,72.60,1.00 
54,1703,74.71,336,75.51,1.00 
55,1702,74.18,329,73.21,1.00 
56,1736,92.40,338,76.24,1.00 
57,1729,88.65,338,76.10,1.00 
58,1731,89.72,341,77.23,1.00 
59,1750,99.91,348,79.70,1.00 
60,1690,67.74,334,75.04,1.00 
61,1703,74.71,339,76.50,1.00 
62,1691,68.28,336,75.47,1.00 
63,1535,-15.34,295,61.43,1.00 
64,1760,105.27,346,78.90,1.00 
65,1685,65.06,326,72.07,1.00 
66,1700,73.10,328,72.91,1.00 
67,1739,94.01,337,75.80,1.00 
68,1646,44.16,313,67.55,1.00 
69,1716,81.68,334,74.82,1.00 
70,1774,112.77,347,79.32,1.00 
71,1690,67.74,329,73.02,1.00 
72,1712,79.54,335,75.01,1.00 
73,1744,96.69,343,77.73,1.00 
74,1736,92.40,346,78.72,1.00 
75,1725,86.50,345,78.38,1.00 
76,1756,103.12,352,81.00,1.00 
77,1743,96.15,353,81.17,1.00 
78,1728,88.11,352,80.85,1.00 
79,1740,94.55,357,82.44,1.00 
80,1742,95.62,359,83.24,1.00 
81,1713,80.07,354,81.46,1.00 
82,1721,84.36,356,82.25,1.00 
83,1725,86.50,358,82.79,1.00 
84,1746,97.76,364,84.99,1.00 
85,1744,96.69,365,85.24,1.00 
86,1782,117.06,376,88.97,1.00 
87,2051,261.25,450,114.25,1.00 
88,1778,114.91,394,95.19,1.00 
89,1806,129.92,407,99.76,1.00 
90,1760,105.27,402,98.11,1.00 
91,1746,97.76,405,99.01,1.00 
92,1749,99.37,411,100.95,1.00 
93,1738,93.47,401,97.75,1.00 
94,1745,97.23,404,98.80,1.00 
95,1797,125.10,417,103.29,1.00 
96,1763,106.87,411,101.11,1.00 
97,1770,110.63,414,102.09,1.00 
98,1796,124.56,421,104.60,1.00 
99,1786,119.20,422,104.85,1.00 
100,1767,109.02,420,104.16,1.00 
101,1783,117.59,424,105.73,1.00 
102,1744,96.69,416,103.02,1.00 
103,1786,119.20,428,106.93,1.00 
104,1805,129.39,434,109.01,1.00 
105,1758,104.19,424,105.51,1.00 
106,1766,108.48,426,106.45,1.00 
107,1803,128.32,436,109.87,1.00 
108,1744,96.69,424,105.74,1.00 
109,1806,129.92,440,111.08,1.00 
110,1781,116.52,434,109.20,1.00 
111,1793,122.96,439,110.88,1.00 
112,1856,156.73,458,117.25,1.00 
113,1776,113.84,440,111.33,1.00 
114,1673,58.63,416,103.06,1.00 
115,1820,137.43,451,114.86,1.00 
116,1834,144.93,457,117.05,1.00 
117,1867,162.62,469,121.03,1.00 
118,1865,161.55,470,121.48,1.00 
119,1808,131.00,460,118.08,1.00 
120,1756,103.12,454,115.94,1.00 
121,1835,145.47,475,123.18,1.00 
122,1758,104.19,458,117.32,1.00 
123,1805,129.39,468,120.90,1.00 
124,1819,136.89,472,122.05,1.00 
125,1825,140.11,475,123.25,1.00 
126,1800,126.71,472,122.23,1.00 
127,1840,148.15,482,125.65,1.00 
128,1787,119.74,472,122.30,1.00 
129,1840,148.15,487,127.27,1.00 
130,1808,131.00,481,125.28,1.00 
131,1724,85.97,460,118.12,1.00 
132,1842,149.22,489,127.97,1.00 
133,1849,152.97,492,128.99,1.00 
134,1913,187.28,512,135.82,1.00 
135,1845,150.83,498,131.17,1.00 
136,1855,156.19,504,133.04,1.00 
137,1833,144.40,505,133.56,1.00 
138,1835,145.47,509,134.67,1.00 
139,1858,157.80,517,137.68,1.00 
140,1827,141.18,510,135.22,1.00 
141,1866,162.09,522,139.38,1.00 
142,1863,160.48,525,140.16,1.00 
143,1898,179.24,537,144.39,1.00 
144,1829,142.25,524,139.85,1.00 
145,1841,148.68,528,141.28,1.00 
146,1843,149.76,532,142.47,1.00 
147,1862,159.94,538,144.68,1.00 
148,1899,179.77,550,148.74,1.00 
149,1811,132.60,529,141.60,1.00 
150,1893,176.56,551,149.22,1.00 
151,1779,115.45,525,140.36,1.00 
152,1844,150.29,541,145.82,1.00 
153,1922,192.10,562,152.98,1.00 
154,1903,181.92,559,151.98,1.00 
155,1830,142.79,545,147.19,1.00 
156,1937,200.14,572,156.41,1.00 
157,1855,156.19,559,151.76,1.00 
158,1681,62.92,516,137.21,1.00 
159,1847,151.90,552,149.41,1.00 
160,1944,203.90,576,157.65,1.00 
161,1825,140.11,550,148.76,1.00 
162,1952,208.18,580,158.83,1.00 
163,1873,165.84,562,152.95,1.00 
164,1875,166.91,571,155.75,1.00 
165,1889,174.41,577,158.06,1.00 
166,1882,170.66,576,157.50,1.00 
167,1891,175.49,582,159.76,1.00 
168,1927,194.78,592,163.13,1.00 
169,1491,-38.93,483,125.88,1.00 
170,1917,189.42,580,158.96,1.00 
171,1893,176.56,574,156.97,1.00 
172,1895,177.63,574,157.05,1.00 
173,1906,183.53,576,157.59,1.00 
174,1904,182.46,573,156.48,1.00 
175,1919,190.50,592,162.92,1.00 
176,1936,199.61,598,165.10,1.00 
177,1906,183.53,594,163.78,1.00 
178,1908,184.60,598,165.08,1.00 
179,1936,199.61,609,168.83,1.00 
180,1920,191.03,611,169.46,1.00 
181,1875,166.91,602,166.53,1.00 
182,2076,274.65,656,184.72,1.00 
183,1904,182.46,621,172.85,1.00 
184,1761,105.80,587,161.36,1.00 
185,1891,175.49,618,171.73,1.00 
186,1858,157.80,610,169.16,1.00 
187,1923,192.64,628,175.41,1.00 
188,1904,182.46,619,172.16,1.00 
189,1947,205.50,630,175.89,1.00 
190,1966,215.69,642,180.01,1.00 
191,1936,199.61,638,178.71,1.00 
192,1919,190.50,638,178.78,1.00 
193,1944,203.90,646,181.57,1.00 
194,1938,200.68,649,182.61,1.00 
195,1936,199.61,652,183.55,1.00 
196,1856,156.73,633,176.99,1.00 
197,1909,185.14,646,181.44,1.00 
198,1941,202.29,656,184.74,1.00 
199,1849,152.97,633,177.05,1.00 
200,1726,87.04,598,165.13,1.00 
201,1954,209.26,649,182.44,1.00 
202,1964,214.62,654,184.24,1.00 
203,1987,226.95,662,186.76,1.00 
204,2002,234.99,667,188.43,1.00 
205,2017,243.03,676,191.67,1.00 
206,1965,215.15,675,191.45,1.00 
207,1843,149.76,648,182.05,1.00 
208,1974,219.98,681,193.39,1.00 
209,1946,204.97,677,191.99,1.00 
210,1993,230.16,691,196.79,1.00 
211,1953,208.72,683,194.06,1.00 
212,1970,217.83,689,196.02,1.00 
213,1989,228.02,701,200.04,1.00 
214,2037,253.75,717,205.44,1.00 
215,2000,233.91,713,204.38,1.00 
216,1994,230.70,716,205.11,1.00 
217,1990,228.55,720,206.59,1.00 
218,1962,213.55,718,205.85,1.00 
219,1936,199.61,714,204.50,1.00 
220,2000,233.91,730,210.06,1.00 
221,1983,224.80,729,209.48,1.00 
222,1991,229.09,733,210.93,1.00 
223,1974,219.98,731,210.13,1.00 
224,2011,239.81,742,214.15,1.00 
225,1969,217.30,736,212.01,1.00 
226,1993,230.16,743,214.48,1.00 
227,2024,246.78,754,218.08,1.00 
228,1985,225.87,747,215.79,1.00 
229,2014,241.42,757,219.32,1.00 
230,2044,257.50,768,222.86,1.00 
231,2111,293.41,791,230.66,1.00 
232,2012,240.35,773,224.51,1.00 
233,2020,244.64,778,226.30,1.00 
234,2031,250.53,786,229.03,1.00 
235,2000,233.91,783,227.88,1.00 
236,2032,251.07,794,231.57,1.00 
237,1982,224.27,781,227.26,1.00 
238,2007,237.67,789,229.95,1.00 
239,2054,262.86,803,234.76,1.00 
240,2018,243.56,796,232.50,1.00 
241,2003,235.52,795,231.93,1.00 
242,2000,233.91,794,231.72,1.00 
243,2056,263.93,811,237.46,1.00 
244,1902,181.38,774,224.96,1.00 
245,2030,250.00,803,234.76,1.00 
246,2034,252.14,805,235.49,1.00 
247,2189,335.23,847,249.94,1.00 
248,1987,226.95,803,234.93,1.00 
249,2083,278.41,827,243.08,1.00 
250,2033,251.60,823,241.63,1.00 
251,2064,268.22,834,245.55,1.00 
252,2063,267.68,839,247.13,1.00 
253,1909,185.14,797,232.91,1.00 
254,2014,241.42,824,241.95,1.00 
255,2054,262.86,834,245.34,1.00 
256,1981,223.73,816,239.44,1.00 
257,2023,246.24,824,242.17,1.00 
258,2015,241.96,820,240.63,1.00 
259,2059,265.54,835,245.84,1.00 
260,1975,220.51,815,238.99,1.00 
261,2017,243.03,823,241.68,1.00 
262,1967,216.23,811,237.59,1.00 
263,1955,209.79,806,235.75,1.00 
264,2058,265.00,830,244.14,1.00 
265,2093,283.77,839,246.99,1.00 
266,2032,251.07,827,242.87,1.00 
267,1696,70.96,739,213.05,1.00 
268,1989,228.02,804,235.14,1.00 
269,2009,238.74,809,236.82,1.00 
270,2096,285.37,828,243.37,1.00 
271,2060,266.08,817,239.56,1.00 
272,2114,295.02,829,243.83,1.00 
273,2192,336.83,865,255.92,1.00 
274,2022,245.71,830,244.20,1.00 
275,2034,252.14,837,246.50,1.00 
276,2058,265.00,845,249.17,1.00 
277,1953,208.72,822,241.39,1.00 
278,2098,286.45,859,253.94,1.00 
279,2080,276.80,853,252.00,1.00 
280,2079,276.26,857,253.21,1.00 
281,2112,293.95,869,257.28,1.00 
282,1968,216.76,835,245.76,1.00 
283,2041,255.89,856,253.01,1.00 
284,2059,265.54,860,254.47,1.00 
285,2074,273.58,866,256.22,1.00 
286,2074,273.58,867,256.72,1.00 
287,2103,289.13,874,259.22,1.00 
288,2102,288.59,881,261.37,1.00 
289,2108,291.81,886,263.30,1.00 
290,2126,301.46,895,266.38,1.00 
291,2063,267.68,884,262.45,1.00 
292,2091,282.69,894,265.90,1.00 
293,2096,285.37,898,267.46,1.00 
294,1808,131.00,826,242.75,1.00 
295,1995,231.23,865,256.03,1.00 
296,2048,259.64,874,259.04,1.00 
297,2041,255.89,870,257.85,1.00 
298,3318,940.41,1201,370.59,1.00 
299,2389,442.43,1008,304.78,1.00 
300,2077,275.19,956,287.25,1.00 
301,1508,-29.82,823,241.61,1.00 
302,2424,461.19,1054,320.54,1.00 
303,2062,267.15,990,298.65,0.00 
304,2127,301.99,972,292.47,0.00 
305,2079,276.26,953,286.13,1.00 
306,2094,284.30,957,287.29,1.00 
307,2080,276.80,975,293.65,1.00 
308,2047,259.11,953,286.22,0.00 
309,2112,293.95,964,289.95,1.00 
310,2002,234.99,934,279.70,1.00 
311,1776,113.84,872,258.44,1.00 
312,2134,305.74,951,285.62,1.00 
313,2126,301.46,945,283.56,1.00 
314,2000,233.91,911,271.87,1.00 
315,2240,362.56,965,290.29,1.00 
316,2124,300.38,940,281.69,1.00 
317,2107,291.27,947,284.05,1.00 
318,2100,287.52,944,283.16,1.00 
319,2112,293.95,947,284.17,1.00 
320,2021,245.17,929,278.09,1.00 
321,2133,305.21,953,286.06,1.00 
322,2014,241.42,924,276.16,1.00 
323,2143,310.57,954,286.37,1.00 
324,2183,332.01,966,290.48,1.00 
325,2126,301.46,954,286.44,1.00 
326,2133,305.21,960,288.45,1.00 
327,2161,320.22,968,291.35,1.00 
328,2176,328.26,980,295.22,1.00 
329,2135,306.28,973,293.04,1.00 
330,2151,314.86,979,294.89,1.00 
331,2133,305.21,978,294.69,1.00 
332,2126,301.46,979,295.11,1.00 
333,2193,337.37,999,301.72,1.00 
334,2165,322.36,995,300.30,1.00 
335,2196,338.98,1006,304.28,1.00 
336,1967,216.23,951,285.39,1.00 
337,2123,299.85,987,297.78,1.00 
338,2149,313.78,995,300.54,1.00 
339,2175,327.72,1001,302.67,0.00 
340,2433,466.02,1070,326.11,0.00 
341,2129,303.06,1001,302.59,1.00 
342,2161,320.22,1018,308.32,1.00 
343,2163,321.29,1024,310.25,1.00 
344,2163,321.29,1028,311.87,0.00 
345,2167,323.43,1034,313.76,0.00 
346,2201,341.66,1037,314.74,0.00 
347,2211,347.02,1045,317.66,0.00 
348,2176,328.26,1041,316.09,0.00 
349,2151,314.86,1037,314.83,0.00 
350,2193,337.37,1050,319.08,0.00 
351,2154,316.46,1042,316.48,0.00 
352,2179,329.87,1049,319.00,0.00 
353,2178,329.33,1050,319.13,0.00 
354,2181,330.94,1052,319.91,0.00 
355,2110,292.88,1036,314.41,0.00 
356,2181,330.94,1052,319.98,0.00 
357,2180,330.40,1054,320.47,0.00 
358,2211,347.02,1063,323.49,0.00 
359,2167,323.43,1053,320.28,0.00 
360,2206,344.34,1064,323.83,0.00 
361,2144,311.10,1052,319.86,0.00 
362,2146,312.18,1053,320.02,0.00 
363,2282,385.08,1088,332.09,0.00 
364,2157,318.07,1059,322.36,0.00 
365,2143,310.57,1057,321.45,0.00 
366,2163,321.29,1061,322.85,0.00 
367,2007,237.67,1021,309.41,0.00 
368,2198,340.05,1066,324.70,0.00 
369,2411,454.23,1118,342.50,0.00 
370,2126,301.46,1053,320.39,0.00 
371,2110,292.88,1049,318.79,0.00 
372,2162,320.75,1060,322.76,0.00 
373,2202,342.19,1077,328.56,0.00 
374,2192,336.83,1076,328.30,0.00 
375,2190,335.76,1069,325.76,0.00 
376,2191,336.30,1072,326.74,0.00 
377,2164,321.82,1069,325.66,0.00 
378,2224,353.99,1086,331.50,0.00 
379,2102,288.59,1055,321.09,0.00 
380,2143,310.57,1063,323.55,0.00 
381,2239,362.03,1087,331.76,0.00 
382,2130,303.60,1061,322.86,0.00 
383,2153,315.93,1065,324.45,0.00 
384,2222,352.91,1080,329.44,0.00 
385,2176,328.26,1072,326.72,0.00 
386,2192,336.83,1078,328.68,0.00 
387,2199,340.59,1078,328.79,0.00 
388,2186,333.62,1078,328.62,0.00 
389,2161,320.22,1073,327.08,0.00 
390,2186,333.62,1079,328.92,0.00 
391,2171,325.58,1076,327.94,0.00 
392,2029,249.46,1038,315.13,0.00 
393,2218,350.77,1081,329.74,0.00 
394,2491,497.11,1153,354.32,0.00 
395,2192,336.83,1088,332.15,0.00 
396,2198,340.05,1091,333.22,0.00 
397,2171,325.58,1087,331.69,0.00 
398,2168,323.97,1094,334.18,0.00 
399,2198,340.05,1104,337.60,0.00 
400,2211,347.02,1099,335.98,0.00 
401,2192,336.83,1096,334.92,0.00 
402,2163,321.29,1089,332.61,0.00 
403,2125,300.92,1080,329.37,0.00 
404,2166,322.90,1088,332.23,0.00 
405,2129,303.06,1076,328.03,0.00 
406,2210,346.48,1093,333.94,0.00 
407,2160,319.68,1080,329.31,0.00 
408,2243,364.17,1100,336.17,0.00 
409,2167,323.43,1083,330.52,0.00 
410,2182,331.47,1086,331.57,0.00 
411,2192,336.83,1091,333.06,0.00 
412,2199,340.59,1092,333.54,0.00 
413,1584,10.92,933,279.30,0.00 
414,2290,389.37,1090,332.89,0.00 
415,2157,318.07,1056,321.40,0.00 
416,2145,311.64,1048,318.64,0.00 
417,2223,353.45,1062,323.20,0.00 
418,2151,314.86,1038,315.05,0.00 
419,2487,494.96,1143,351.02,0.00 
420,2196,338.98,1076,328.05,0.00 
421,2207,344.87,1082,330.14,0.00 
422,2166,322.90,1077,328.39,0.00 
423,2151,314.86,1076,327.92,0.00 
424,2163,321.29,1085,331.14,0.00 
425,2197,339.51,1084,330.86,0.00 
426,2182,331.47,1082,329.99,0.00 
427,2182,331.47,1082,329.96,0.00 
428,2175,327.72,1081,329.60,0.00 
429,2203,342.73,1089,332.38,0.00 
430,2197,339.51,1088,332.05,0.00 
431,2192,336.83,1087,331.80,0.00 
432,2212,347.55,1093,333.89,0.00 
433,2190,335.76,1089,332.58,0.00 
434,2170,325.04,1086,331.29,0.00 
435,2183,332.01,1088,332.27,0.00 
436,2146,312.18,1079,329.00,0.00 
437,2177,328.79,1086,331.30,0.00 
438,2174,327.18,1084,330.60,0.00 
439,2170,325.04,1082,329.92,0.00 
440,2159,319.14,1078,328.71,0.00 
441,2160,319.68,1077,328.20,0.00 
442,2187,334.15,1083,330.48,0.00 
443,2288,388.29,1109,339.37,0.00 
444,2206,344.34,1092,333.50,0.00 
445,2151,314.86,1079,329.19,0.00 
446,2173,326.65,1085,331.23,0.00 
447,2123,299.85,1074,327.27,0.00 
448,2171,325.58,1085,331.02,0.00 
449,2143,310.57,1073,327.13,0.00 
450,2138,307.89,1069,325.62,0.00 
451,2183,332.01,1079,329.05,0.00 
452,2181,330.94,1077,328.50,0.00 
453,2150,314.32,1070,325.94,0.00 
454,2096,285.37,1053,320.27,0.00 
455,2040,255.36,1035,314.12,0.00 
456,2163,321.29,1062,323.20,0.00 
457,2129,303.06,1050,319.18,0.00 
458,2389,442.43,1114,340.86,0.00 
459,2187,334.15,1068,325.30,0.00 
460,2108,291.81,1050,319.08,0.00 
461,2064,268.22,1041,315.97,0.00 
462,2160,319.68,1062,323.34,0.00 
463,2176,328.26,1069,325.47,0.00 
464,2164,321.82,1058,321.83,0.00 
465,2192,336.83,1064,323.75,0.00 
466,2590,550.18,1170,360.09,0.00 
467,2136,306.82,1073,326.88,0.00 
468,2250,367.92,1104,337.66,0.00 
469,2404,450.47,1151,353.45,0.00 
470,2133,305.21,1095,334.51,0.00 
471,2235,359.88,1127,345.41,0.00 
472,2385,440.29,1159,356.37,0.00 
473,2183,332.01,1121,343.23,0.00 
474,2210,346.48,1130,346.57,0.00 
475,2176,328.26,1118,342.39,0.00 
476,2282,385.08,1150,353.18,0.00 
477,2184,332.55,1128,345.71,0.00 
478,1944,203.90,1060,322.50,0.00 
479,2182,331.47,1112,340.30,0.00 
480,2140,308.96,1098,335.51,0.00 
481,2078,275.73,1078,328.82,0.00 
482,2160,319.68,1088,332.09,0.00 
483,2123,299.85,1072,326.51,0.00 
484,2153,315.93,1081,329.86,0.00 
485,2162,320.75,1079,328.92,0.00 
486,2169,324.50,1077,328.45,0.00 
487,2129,303.06,1067,324.82,0.00 
488,2176,328.26,1075,327.80,0.00 
489,2178,329.33,1076,328.20,0.00 
490,2166,322.90,1072,326.85,0.00 
491,2119,297.70,1059,322.30,0.00 
492,2141,309.50,1062,323.24,0.00 
493,2145,311.64,1062,323.34,0.00 
494,2179,329.87,1069,325.63,0.00 
495,2138,307.89,1057,321.54,0.00 
496,2139,308.42,1055,320.75,0.00 
497,2132,304.67,1052,319.86,0.00 
498,2158,318.61,1057,321.62,0.00 
499,2282,385.08,1089,332.41,0.00 
500,2219,351.31,1076,327.92,0.00 
501,2198,340.05,1073,327.10,0.00 
502,2185,333.08,1073,327.00,0.00 
503,2157,318.07,1069,325.69,0.00 
504,2171,325.58,1075,327.62,0.00 
505,2172,326.11,1073,326.91,0.00 
506,2158,318.61,1069,325.49,0.00 
507,2147,312.71,1065,324.23,0.00 
508,2137,307.35,1061,322.88,0.00 
509,2254,370.07,1090,332.87,0.00 
510,2195,338.44,1077,328.47,0.00 
511,2160,319.68,1069,325.60,0.00 
512,2199,340.59,1079,329.11,0.00 
513,2176,328.26,1075,327.86,0.00 
514,2144,311.10,1069,325.84,0.00 
515,2157,318.07,1069,325.82,0.00 
516,2160,319.68,1069,325.65,0.00 
517,2137,307.35,1063,323.61,0.00 
518,2214,348.63,1080,329.57,0.00 
519,2149,313.78,1064,324.04,0.00 
520,2158,318.61,1066,324.55,0.00 
521,2157,318.07,1065,324.25,0.00 
522,2150,314.32,1062,323.39,0.00 
523,2156,317.54,1064,323.89,0.00 
524,2163,321.29,1063,323.57,0.00 
525,2102,288.59,1047,318.04,0.00 
526,2162,320.75,1059,322.31,0.00 
527,2256,371.14,1083,330.39,0.00 
528,2202,342.19,1072,326.73,0.00 
529,2310,400.09,1102,336.86,0.00 
530,2176,328.26,1073,327.10,0.00 
531,2160,319.68,1073,327.18,0.00 
532,2699,608.60,1217,376.14,0.00 
533,2155,317.00,1097,335.17,0.00 
534,2135,306.28,1096,334.79,0.00 
535,2173,326.65,1105,337.84,0.00 
536,2150,314.32,1104,337.57,0.00 
537,2138,307.89,1106,338.23,0.00 
538,2132,304.67,1086,331.38,0.00 
539,2183,332.01,1097,335.30,0.00 
540,2173,326.65,1095,334.50,0.00 
541,2196,338.98,1099,335.99,0.00 
542,2127,301.99,1080,329.57,0.00 
543,2132,304.67,1077,328.57,0.00 
544,2160,319.68,1083,330.60,0.00 
545,2139,308.42,1075,327.94,0.00 
546,2155,317.00,1076,328.28,0.00 
547,2160,319.68,1074,327.44,0.00 
548,2125,300.92,1064,323.96,0.00 
549,2135,306.28,1064,324.08,0.00 
550,2162,320.75,1068,325.41,0.00 
551,2157,318.07,1065,324.54,0.00 
552,2112,293.95,1052,319.90,0.00 
553,2123,299.85,1051,319.62,0.00 
554,2157,318.07,1058,321.94,0.00 
555,2137,307.35,1052,319.79,0.00 
556,2155,317.00,1054,320.46,0.00 
557,2190,335.76,1061,322.91,0.00 
558,2138,307.89,1049,318.77,0.00 
559,2175,327.72,1058,321.93,0.00 
560,1937,200.14,996,300.67,0.00 
561,2159,319.14,1045,317.32,0.00 
562,2160,319.68,1043,316.88,0.00 
563,2151,314.86,1038,315.07,0.00 
564,2156,317.54,1038,314.90,0.00 
565,2158,318.61,1035,313.91,0.00 
566,2142,310.03,1037,314.68,0.00 
567,2127,301.99,1032,312.91,0.00 
568,2147,312.71,1035,314.03,0.00 
569,2128,302.53,1030,312.16,0.00 
570,2170,325.04,1039,315.45,0.00 
571,2117,296.63,1026,310.98,0.00 
572,2113,294.49,1023,310.00,0.00 
573,2160,319.68,1034,313.72,0.00 
574,2089,281.62,1015,307.32,0.00 
575,2132,304.67,1024,310.36,0.00 
576,2176,328.26,1033,313.44,0.00 
577,2143,310.57,1026,310.90,0.00 
578,2151,314.86,1028,311.77,0.00 
579,2138,307.89,1024,310.28,0.00 
580,2133,305.21,1024,310.32,0.00 
581,2135,306.28,1025,310.50,0.00 
582,2160,319.68,1030,312.24,0.00 
583,2080,276.80,1009,305.32,0.00 
584,2096,285.37,1010,305.67,0.00 
585,2150,314.32,1022,309.73,0.00 
586,2133,305.21,1017,308.11,0.00 
587,2112,293.95,1011,305.84,0.00 
588,2156,317.54,1019,308.70,0.00 
589,2112,293.95,1009,305.33,0.00 
590,2150,314.32,1019,308.67,0.00 
591,1989,228.02,976,294.11,0.00 
