1,1712,59.54,0.000000 
2,1689,47.21,1.496380 
3,1712,59.54,1.700529 
4,1727,67.58,1.496840 
5,1731,69.72,1.364055 
6,1730,69.18,1.328784 
7,1737,72.94,1.337842 
8,1731,69.72,1.275967 
9,1727,67.58,1.329351 
10,1726,67.04,1.365008 
11,1734,71.33,1.374071 
12,1732,70.26,1.303335 
13,1731,69.72,1.321255 
14,1733,70.79,1.330312 
15,1735,71.86,1.312769 
16,1738,73.47,1.295224 
17,1737,72.94,1.268810 
18,1731,69.72,1.277859 
19,1731,69.72,1.331242 
20,1734,71.33,1.331433 
21,1733,70.79,1.305024 
22,1730,69.18,1.314078 
23,1731,69.72,1.340866 
24,1722,64.90,1.332192 
25,1734,71.33,1.412183 
26,1742,75.62,1.305985 
27,1734,71.33,1.235239 
28,1741,75.08,1.306349 
29,1739,74.01,1.244470 
30,1742,75.62,1.262381 
31,1744,76.69,1.235962 
32,1739,74.01,1.218405 
33,1744,76.69,1.262913 
34,1744,76.69,1.218760 
35,1744,76.69,1.218935 
36,1746,77.76,1.219109 
37,1745,77.23,1.201550 
38,1750,79.91,1.210589 
39,1751,80.44,1.166429 
40,1754,82.05,1.157728 
41,1754,82.05,1.131294 
42,1750,79.91,1.131456 
43,1754,82.05,1.167084 
44,1755,82.59,1.131784 
45,1761,85.80,1.123079 
46,1759,84.73,1.070039 
47,1758,84.19,1.087925 
48,1761,85.80,1.096947 
49,1766,88.48,1.070503 
50,1766,88.48,1.026323 
51,1771,91.16,1.026469 
52,1767,89.02,0.982282 
53,1772,91.70,1.017889 
54,1770,90.63,0.973700 
55,1774,92.77,0.991572 
56,1775,93.31,0.956247 
57,1776,93.84,0.947516 
58,1774,92.77,0.938784 
59,1776,93.84,0.956651 
60,1778,94.91,0.939054 
61,1783,97.59,0.921454 
62,1778,94.91,0.877252 
63,1788,100.27,0.921710 
64,1787,99.74,0.833174 
65,1788,100.27,0.842159 
66,1791,101.88,0.833412 
67,1791,101.88,0.806930 
68,1793,102.96,0.807045 
69,1792,102.42,0.789426 
70,1791,101.88,0.798404 
71,1794,103.49,0.807384 
72,1796,104.56,0.780899 
73,1796,104.56,0.763276 
74,1802,107.78,0.763384 
75,1803,108.32,0.710292 
76,1803,108.32,0.701526 
77,1806,109.92,0.701625 
78,1799,106.17,0.675124 
79,1806,109.92,0.737286 
80,1808,111.00,0.675323 
81,1808,111.00,0.657685 
82,1811,112.60,0.657778 
83,1810,112.07,0.631271 
84,1809,111.53,0.640227 
85,1814,114.21,0.649184 
86,1815,114.75,0.604942 
87,1811,112.60,0.596160 
88,1813,113.68,0.631711 
89,1827,121.18,0.614066 
90,1818,116.36,0.490019 
91,1823,119.04,0.569888 
92,1827,121.18,0.525635 
93,1829,122.25,0.490241 
94,1826,120.64,0.472576 
95,1826,120.64,0.499242 
96,1838,127.08,0.499312 
97,1825,120.11,0.392982 
98,1835,125.47,0.508303 
99,1828,121.72,0.419708 
100,1832,123.86,0.481833 
101,1839,127.61,0.446433 
102,1840,128.15,0.384429 
103,1840,128.15,0.375615 
104,1838,127.08,0.375667 
105,1859,138.33,0.393453 
106,1840,128.15,0.207307 
107,1840,128.15,0.375802 
108,1844,130.29,0.375854 
109,1850,133.51,0.340439 
110,1849,132.97,0.287286 
111,1849,132.97,0.296191 
112,1846,131.36,0.296232 
113,1852,134.58,0.322873 
114,1853,135.12,0.269717 
115,1851,134.05,0.260887 
116,1850,133.51,0.278655 
117,1856,136.73,0.287560 
118,1854,135.65,0.234399 
119,1857,137.26,0.252164 
120,1858,137.80,0.225598 
121,1859,138.33,0.216762 
122,1859,138.33,0.207924 
123,1856,136.73,0.207952 
124,1859,138.33,0.234580 
125,1869,143.69,0.208011 
126,1842,129.22,0.119372 
127,1869,143.69,0.358788 
128,1872,145.30,0.119437 
129,1862,139.94,0.092852 
130,1860,138.87,0.181529 
131,1868,143.16,0.199287 
132,1870,144.23,0.128380 
133,1871,144.77,0.110663 
134,1870,144.23,0.101810 
135,1861,139.41,0.110689 
136,1872,145.30,0.190503 
137,1867,142.62,0.092995 
138,1871,144.77,0.137339 
139,1871,144.77,0.101890 
140,1872,145.30,0.101902 
141,1872,145.30,0.093048 
142,1873,145.84,0.093059 
143,1875,146.91,0.084204 
144,1885,152.27,0.066480 
145,1872,145.30,-0.022179 
146,1881,150.13,0.093082 
147,1872,145.30,0.013293 
148,1875,146.91,0.093093 
149,1888,153.88,0.066504 
150,1881,150.13,-0.048755 
151,1898,159.24,0.013302 
152,1883,151.20,-0.137432 
153,1887,153.34,-0.004453 
154,1881,150.13,-0.039923 
155,1889,154.41,0.013269 
156,1879,149.05,-0.057664 
157,1887,153.34,0.030992 
158,1878,148.52,-0.039939 
159,1885,152.27,0.039853 
160,1893,156.56,-0.022210 
161,1888,153.88,-0.093149 
162,1889,154.41,-0.048832 
163,1887,153.34,-0.057707 
164,1894,157.09,-0.039984 
165,1887,153.34,-0.102059 
166,1893,156.56,-0.040009 
167,1887,153.34,-0.093217 
168,1895,157.63,-0.040033 
169,1886,152.81,-0.110974 
170,1898,159.24,-0.031192 
171,1890,154.95,-0.137599 
172,1886,152.81,-0.066687 
173,1902,161.38,-0.031233 
174,1892,156.02,-0.173106 
175,1894,157.09,-0.084466 
176,1891,155.49,-0.102214 
177,1891,155.49,-0.075631 
178,1893,156.56,-0.075644 
179,1893,156.56,-0.093391 
180,1898,159.24,-0.093406 
181,1872,145.30,-0.137755 
182,1892,156.02,0.092757 
183,1895,157.63,-0.084566 
184,1895,157.63,-0.111180 
185,1892,156.02,-0.111198 
186,1893,156.56,-0.084616 
187,1900,160.31,-0.093497 
188,1895,157.63,-0.155580 
189,1886,152.81,-0.111271 
190,1895,157.63,-0.031489 
191,1897,158.70,-0.111295 
192,1902,161.38,-0.129047 
193,1902,161.38,-0.173401 
194,1893,156.56,-0.173428 
195,1893,156.56,-0.093655 
196,1902,161.38,-0.093671 
197,1897,158.70,-0.173487 
198,1895,157.63,-0.129180 
199,1895,157.63,-0.111467 
200,1897,158.70,-0.111486 
201,1895,157.63,-0.129237 
202,1899,159.77,-0.111524 
203,1894,157.09,-0.147010 
204,1916,168.89,-0.102699 
205,1902,161.38,-0.297783 
206,1903,161.92,-0.173695 
207,1902,161.38,-0.182588 
208,1895,157.63,-0.173750 
209,1901,160.85,-0.111710 
210,1904,162.46,-0.164929 
211,1895,157.63,-0.191554 
212,1899,159.77,-0.111784 
213,1898,159.24,-0.147269 
214,1895,157.63,-0.138426 
215,1902,161.38,-0.111847 
216,1900,160.31,-0.173932 
217,1898,159.24,-0.156226 
218,1890,154.95,-0.138517 
219,1902,161.38,-0.067605 
220,1902,161.38,-0.174018 
221,1898,159.24,-0.174045 
222,1899,159.77,-0.138605 
223,1895,157.63,-0.147494 
224,1899,159.77,-0.112050 
225,1895,157.63,-0.147535 
226,1901,160.85,-0.112091 
227,1898,159.24,-0.165310 
228,1899,159.77,-0.138736 
229,1889,154.41,-0.147624 
230,1869,143.69,-0.058981 
231,1899,159.77,0.118343 
232,1898,159.24,-0.147643 
233,1900,160.31,-0.138800 
234,1896,158.17,-0.156555 
235,1894,157.09,-0.121113 
236,1900,160.31,-0.103399 
237,1898,159.24,-0.156616 
238,1896,158.17,-0.138907 
239,1902,161.38,-0.121196 
240,1898,159.24,-0.174415 
241,1898,159.24,-0.138976 
242,1899,159.77,-0.138998 
243,1899,159.77,-0.147886 
244,1904,162.46,-0.147909 
245,1910,165.67,-0.192266 
246,1904,162.46,-0.245495 
247,1903,161.92,-0.192333 
248,1894,157.09,-0.183496 
249,1904,162.46,-0.103724 
250,1901,160.85,-0.192408 
251,1903,161.92,-0.165837 
252,1897,158.70,-0.183596 
253,1902,161.38,-0.130424 
254,1904,162.46,-0.174779 
255,1905,162.99,-0.192539 
256,1904,162.46,-0.201435 
257,1900,160.31,-0.192600 
258,1903,161.92,-0.157162 
259,1897,158.70,-0.183787 
260,1901,160.85,-0.130615 
261,1903,161.92,-0.166103 
262,1902,161.38,-0.183862 
263,1900,160.31,-0.175024 
264,1902,161.38,-0.157317 
265,1901,160.85,-0.175075 
266,1895,157.63,-0.166236 
267,1899,159.77,-0.113061 
268,1898,159.24,-0.148546 
269,1894,157.09,-0.139703 
270,1898,159.24,-0.104258 
271,1897,158.70,-0.139742 
272,1898,159.24,-0.130897 
273,1895,157.63,-0.139785 
274,1902,161.38,-0.113206 
275,1897,158.70,-0.175291 
276,1899,159.77,-0.130985 
277,1898,159.24,-0.148739 
278,1898,159.24,-0.139896 
279,1898,159.24,-0.139918 
280,1895,157.63,-0.139940 
281,1895,157.63,-0.113361 
282,1894,157.09,-0.113379 
283,1898,159.24,-0.104531 
284,1900,160.31,-0.140015 
285,1898,159.24,-0.157770 
286,1899,159.77,-0.140061 
287,1899,159.77,-0.148950 
288,1900,160.31,-0.148973 
289,1904,162.46,-0.157863 
290,1895,157.63,-0.193354 
291,1894,157.09,-0.113583 
292,1907,164.06,-0.104735 
293,1899,159.77,-0.220019 
294,1899,159.77,-0.149119 
295,1895,157.63,-0.149142 
296,1899,159.77,-0.113698 
297,1894,157.09,-0.149184 
298,1892,156.02,-0.104873 
299,1899,159.77,-0.087157 
300,1897,158.70,-0.149238 
301,1897,158.70,-0.131528 
302,1893,156.56,-0.131548 
303,1892,156.02,-0.096103 
304,1897,158.70,-0.087251 
305,1894,157.09,-0.131599 
306,1889,154.41,-0.105020 
