1,14
60,35
120,51
180,60
240,67
300,73
360,79
420,83
480,87
540,90
600,92
660,94
720,100
780,104
840,107
900,110
960,112
1020,116
1100,121
1180,126
1260,129
1340,132 
1420,135
1500,140
1560,143
1620,145
1680,148
1740,151
1800,154
1860,156
1920,158
1980,160
2040,162
2100,164
2160,166
2220,168
2280,171
2340,173
2400,175
2460,177
2520,181
2580,183
2640,185
2700,186
2760,186
2840,182
2900,178
2960,180
3020,182
3080,185
3140,187
3200,189
3260,191
3320,193
3380,195
3440,197
3500,199
3560,200
3620,203
3680,206
3740,208
3800,210
